"sort_order","region_name"
"255","中国"
"255","","北京"
"255","","","北京"
"255","","","","东城区"
"255","","","","西城区"
"255","","","","海淀区"
"255","","","","朝阳区"
"255","","","","崇文区"
"255","","","","宣武区"
"255","","","","丰台区"
"255","","","","石景山区"
"255","","","","房山区"
"255","","","","门头沟区"
"255","","","","通州区"
"255","","","","顺义区"
"255","","","","昌平区"
"255","","","","怀柔区"
"255","","","","平谷区"
"255","","","","大兴区"
"255","","","","密云县"
"255","","","","延庆县"
"255","","安徽"
"255","","","安庆"
"255","","","","迎江区"
"255","","","","大观区"
"255","","","","宜秀区"
"255","","","","桐城市"
"255","","","","怀宁县"
"255","","","","枞阳县"
"255","","","","潜山县"
"255","","","","太湖县"
"255","","","","宿松县"
"255","","","","望江县"
"255","","","","岳西县"
"255","","","蚌埠"
"255","","","","中市区"
"255","","","","东市区"
"255","","","","西市区"
"255","","","","郊区"
"255","","","","怀远县"
"255","","","","五河县"
"255","","","","固镇县"
"255","","","巢湖"
"255","","","","居巢区"
"255","","","","庐江县"
"255","","","","无为县"
"255","","","","含山县"
"255","","","","和县"
"255","","","池州"
"255","","","","贵池区"
"255","","","","东至县"
"255","","","","石台县"
"255","","","","青阳县"
"255","","","滁州"
"255","","","","琅琊区"
"255","","","","南谯区"
"255","","","","天长市"
"255","","","","明光市"
"255","","","","来安县"
"255","","","","全椒县"
"255","","","","定远县"
"255","","","","凤阳县"
"255","","","阜阳"
"255","","","","蚌山区"
"255","","","","龙子湖区"
"255","","","","禹会区"
"255","","","","淮上区"
"255","","","","颍州区"
"255","","","","颍东区"
"255","","","","颍泉区"
"255","","","","界首市"
"255","","","","临泉县"
"255","","","","太和县"
"255","","","","阜南县"
"255","","","","颖上县"
"255","","","淮北"
"255","","","","相山区"
"255","","","","杜集区"
"255","","","","烈山区"
"255","","","","濉溪县"
"255","","","淮南"
"255","","","","田家庵区"
"255","","","","大通区"
"255","","","","谢家集区"
"255","","","","八公山区"
"255","","","","潘集区"
"255","","","","凤台县"
"255","","","黄山"
"255","","","","屯溪区"
"255","","","","黄山区"
"255","","","","徽州区"
"255","","","","歙县"
"255","","","","休宁县"
"255","","","","黟县"
"255","","","","祁门县"
"255","","","六安"
"255","","","","金安区"
"255","","","","裕安区"
"255","","","","寿县"
"255","","","","霍邱县"
"255","","","","舒城县"
"255","","","","金寨县"
"255","","","","霍山县"
"255","","","马鞍山"
"255","","","","雨山区"
"255","","","","花山区"
"255","","","","金家庄区"
"255","","","","当涂县"
"255","","","宿州"
"255","","","","埇桥区"
"255","","","","砀山县"
"255","","","","萧县"
"255","","","","灵璧县"
"255","","","","泗县"
"255","","","铜陵"
"255","","","","铜官山区"
"255","","","","狮子山区"
"255","","","","郊区"
"255","","","","铜陵县"
"255","","","芜湖"
"255","","","","镜湖区"
"255","","","","弋江区"
"255","","","","鸠江区"
"255","","","","三山区"
"255","","","","芜湖县"
"255","","","","繁昌县"
